File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
7,13,191.17816099901574,0,0,13,59
6,14,583.9750119966993,0,0,14,59
7,14,649.101342002723,0,0,14,59
6,15,428.2989169962548,0,0,15,59
7,15,296.01601500098695,0,0,15,59
6,16,962.8192309974111,0,0,16,59
7,16,886.4557640006296,0,0,16,59
6,17,1111.4756839942856,0,0,17,59
7,17,926.0308780028481,0,0,17,59
6,18,202.53005199788277,0,0,18,59
7,18,183.62810200210333,0,0,18,59
6,19,730.4978960014523,0,0,19,59
7,19,716.712609995966,0,0,19,59
6,0,344.7722820060335,0,0,0,60
7,0,264.0103449966773,0,0,0,60
6,1,190.995495001971,0,0,1,60
7,1,169.05431199847953,0,0,1,60
6,2,274.24146899738844,0,0,2,60
7,2,261.46481299633706,0,0,2,60
6,3,481.45060300544174,0,0,3,60
7,3,462.3070739985451,0,0,3,60
6,4,184.42019700069068,0,0,4,60
7,4,169.99262399508552,0,0,4,60
6,5,151.4044880043457,0,0,5,60
7,5,149.0398680027738,0,0,5,60
6,6,335.83919999909995,0,0,6,60
7,6,318.3917869978359,0,0,6,60
6,7,207.09457599809866,0,0,7,60
7,7,169.8967990064375,0,0,7,60
6,8,198.87135099293118,0,0,8,60
7,8,186.223411996707,0,0,8,60
6,9,390.7313929983047,0,0,9,60
7,9,403.71957800130076,0,0,9,60
6,10,809.3994809948981,0,0,10,60
7,10,701.5087030069935,0,0,10,60
6,11,829.4925810021141,0,0,11,60
7,11,721.6501169989442,0,0,11,60
6,12,1357.579855003678,0,0,12,60
7,12,1193.552042006786,0,0,12,60
6,13,154.41506799834315,0,0,13,60
7,13,223.17530400505348,0,0,13,60
6,14,754.4417599985991,0,0,14,60
7,14,615.4711689980559,0,0,14,60
6,15,207.6913189971492,0,0,15,60
7,15,169.7599419976541,0,0,15,60
6,16,185.32215200161772,0,0,16,60
7,16,174.40670299833982,0,0,16,60
6,17,242.20283199679216,0,0,17,60
7,17,186.67638299416467,0,0,17,60
6,18,201.20774799443097,0,0,18,60
7,18,195.57512199867233,0,0,18,60
6,19,325.068170999657,0,0,19,60
7,19,305.72265500381945,0,0,19,60
6,0,192.27587299087645,0,0,0,61
